Subject,Predicate,Object
feature tree,represents hierarchy using,indentation
feature tree,represents hierarchy using,nest
feature tree,contains,parentchild relationship
feature tree,can be decomposed into,subpart
feature tree,utilizes,keyword specify relationship
feature,is a main element of,feature tree
group,is a main element of,feature tree
feature,has,unique identifier
feature tree,specifies hierarchy using,nest
feature tree,utilizes,keyword specify parentchild relationship
feature,requires,unique identifier
import mechanism,supports,composition feature tree
feature tree,uses,keyword specify parentchild relationship
feature tree,is a major part of,uvl model
feature tree,contains,feature unique name
feature tree,contains,feature feature cardinality
feature tree,contains,feature attribute
feature tree,contains,feature arbitrary number group
feature tree,contains,group arbitrary number feature
import mechanism,allows,composition feature tree
submodel,can be attached to,arbitrary location feature tree
crosstree constraint,are,component feature model
crosstree constraint,represent,domain constraint
crosstree constraint,restrict,number valid configuration
crosstree constraint,consist of,inclusion statement
crosstree constraint,consist of,exclusion statement
crosstree constraint,consist of,arbitrary propositional formulae
crosstree constraint,are stored,separately tree structure
crosstree constraint,are marked by,constraints keyword
crosstree constraint,use,propositional logic operator
crosstree constraint,support operator,!
crosstree constraint,support operator,&
crosstree constraint,support operator,|
crosstree constraint,support operator,=>
crosstree constraint,support operator,<=>
crosstree constraint,combine,boolean variable
crosstree constraint,combine,boolean constant
crosstree constraint,combine,predicate
boolean variable,refer to,feature name
boolean variable,refer to,booleanattribute key
predicate,specify dependencies based on,string value
predicate,specify dependencies based on,numerical value
predicate,use operator,==
predicate,use operator,!=
predicate,use operator,>
predicate,use operator,<
predicate,use operator,>=
predicate,use operator,<=
predicate,connect,term
term,include,reference variable
term,include,constant
term,include,function
term,include,binary expression
function constraint,include,sum
function constraint,include,avg
function constraint,include,len
function constraint,include,floor
function constraint,include,ceil
binary expression,support,+
binary expression,support,-
binary expression,support,*
binary expression,support,/
arithmetic level,introduces,numeric constraints feature attribute
type level,introduces,string constraint
type level,introduces,numeric operation
submodel constraint,apply to,compose model
import feature,are referenced using,namespace
feature attribute,can contain,line constraint
require relationship,is,crosstree constraint
exclude relationship,is,crosstree constraint
crosstree constraint,are a component of,feature model
crosstree constraint,are a major part of,uvl model
crosstree constraint,impose,limitation feature
valid configuration,satisfy,attach constraint
crosstree constraint,evaluate to,boolean value
propositional operator,combine,boolean variable
propositional operator,combine,boolean constant
propositional operator,combine,predicate
predicate,specify,dependencie base string value
predicate,specify,dependencie base numerical value
arithmetic operation,include,+
arithmetic operation,include,-
arithmetic operation,include,*
arithmetic operation,include,/
require relationship,implies,inclusion feature
exclude relationship,denotes,feature incompatibility
import submodel,apply constraints to,compose model
attribute,can contain,line constraint
crosstree constraint,are handled by,reasoning engine
valid configuration,must satisfy,attach constraint
import mechanism,applies submodel constraints to,compose model
crosstree constraint,are stored,separately feature tree structure
aggregate function,include,sum
aggregate function,include,avg
string operation,include,len
numeric operation,include,floor
numeric operation,include,ceil
boolean level,is,core language uvl
boolean level,encapsulates,language construct
boolean level,is reasoned about using,sit solver
boolean level,consists of,boolean core
boolean level,has minor level extension,group cardinality
boolean level,supports,mandatory relationship
boolean level,supports,optional relationship
boolean level,supports,group
boolean level,supports,alternative group
boolean level,supports,propositional crosstree constraint
boolean level,is included in,arithmetic level
boolean level,is included in,type level
boolean level,limits constraints to,propositional logic
boolean level,supports operator,!
boolean level,supports operator,&
boolean level,supports operator,|
boolean level,supports operator,=>
boolean level,supports operator,<=>
core boolean level,allows attributes to,store feature information
core boolean level,excludes,constraint attribute
boolean level,can be encoded as,sit instance
boolean level,is used by,featureide
boolean level,is used by,flamapy
boolean level,is used by,nemo
group cardinality,extends,boolean level
group cardinality,enables,select n m feature group
boolean level,is,major language level
boolean level,includes,boolean core
boolean level,includes,group cardinality
boolean level,groups features by,reasoning engine
boolean level,supports,optional group
boolean level,supports,mandatory group
boolean level,excludes,constraint attribute
boolean level,is used by,ddueruem
boolean level,is used by,fm fact label
boolean level,is used by,pure::variant
boolean level,is used by,variability.dev
boolean level,can be encoded as,cnf
boolean level,is fully included in,arithmetic level
boolean level,is extended by,type level
boolean level,consists of,group keyword
boolean level,consists of,propositional crosstree constraint
boolean core,is,basic uvl language
boolean core,is,conversion target group cardinality
boolean level,is parsed by,clojurebase parser
boolean level,is parsed by,pythonbase parser
boolean level,consists of,group cardinality
boolean level,includes,group keyword
boolean level,includes,propositional crosstree constraint
boolean level,uses,sit solver backend
boolean core,is,level extension
boolean level,is extended by,arithmetic level
boolean level,is the lowest level in,language hierarchy
arithmetic level,is,major language level
arithmetic level,fully includes,boolean level
arithmetic level,extends,boolean level
arithmetic level,allows,term resolve boolean
arithmetic level,supports operator,+
arithmetic level,supports operator,-
arithmetic level,supports operator,*
arithmetic level,supports operator,/
arithmetic level,supports operator,==
arithmetic level,supports operator,!=
arithmetic level,supports operator,<
arithmetic level,supports operator,>
arithmetic level,supports operator,<=
arithmetic level,supports operator,>=
arithmetic level,has minor level extension,feature cardinality
arithmetic level,has minor level extension,aggregate function
arithmetic level,can be represented as,smt problem
arithmetic level,can be represented as,cp problem
arithmetic level,requires,process sit encode
arithmetic level,is included in,type level
arithmetic level,is used by,travart
arithmetic level,is supported by,uvls
arithmetic level,is used by,tool smt solver
arithmetic level,is used by,tool cp solver
arithmetic level,can be converted to,core boolean level
arithmetic level,supports,numeric constant
arithmetic level,supports,numerical feature attribute
arithmetic level,is target for,type level conversion
arithmetic level,allows,minor level selection wildcard
arithmetic level,is part of,uvl
arithmetic level,is supported by,travart
arithmetic level,encapsulates,arithmetic expression feature
arithmetic level,encapsulates,arithmetic expression attribute
arithmetic level,groups constructs by,reasoning engine
arithmetic core,is part of,arithmetic level
arithmetic core,supports,constraint feature attribute
arithmetic core,supports,standard arithmetic operation
feature cardinality,enables,select feature multiple time
aggregate function,introduces,sum
aggregate function,introduces,avg
arithmetic level,can be encoded as,smt instance
arithmetic level,can be encoded as,cp instance
type level,converts to,arithmetic level
arithmetic level,converts to,boolean level
arithmetic core,converts to,boolean core
feature cardinality,converts to,arithmetic core
aggregate function,converts to,arithmetic core
arithmetic level,supports operator,- .
arithmetic level,supports operator,* .
arithmetic level,supports operator,/.
arithmetic level,has minor level,feature cardinality
arithmetic level,has minor level,aggregate function
arithmetic level,requires further processing for,sat encode
arithmetic level,allows wildcard,arithmetic
arithmetic level,is a target for,type level conversion
arithmetic level,includes,arithmetic core
aggregate function,considers attribute values of,select feature
aggregate function,takes,numeric feature attribute input
aggregate function,can take,feature second parameter
feature cardinality,uses syntax,minmax
type level,is,major language level
type level,extends,boolean level
type level,extends,arithmetic level
type level,introduces,type feature
type level,supports,string feature
type level,supports,integer feature
type level,supports,real feature
type level,includes,type core
type level,has minor level extension,type numericconstraint
type level,has minor level extension,type stringconstraint
type numericconstraint,allows,floor
type numericconstraint,allows,ceil
type stringconstraint,allows,len
type stringconstraint,allows,string comparison
type level,can be represented as,smt problem
type level,can be represented as,cp problem
type level,converts to,boolean level
string constraint,are dropped,conversion
type level,allows,explicit boolean domain specification
type level,uses,boolean domain default
type level,is supported by,travart
type level,is supported by,uvls
type level,is supported by,v4rdiac
type level,encapsulates,feature nonboolean type
type level,is,major language level uvl
type level,introduces,integer feature
type level,introduces,float feature
type level,introduces,string feature
type level,introduces,real feature
type level,includes minor level,stringconstraint
type level,includes minor level,numericconstraint
type level,includes core level,type core
type level,supports,string length operation
type level,supports,string comparison
type level,supports,floor operation
type level,supports,ceil operation
type level,transforms features into,boolean feature attribute
type level,drops,stringconstraint conversion
type level,allows,configuration nonboolean value
type level,encapsulates,construct specific reasoning engine
type level,occupies,high position language hierarchy
type level,encapsulates,language construct specific reasoning engine
type level,converts features into,boolean feature attribute
type level,allows,explicit set boolean domain
type level,enables,configuration nonboolean value
type level,introduces,numeric feature
