resource,seed,triplets,precision,recall,f1_score,hallucination_rate,hallucinations
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Boolean level,39,1.0,0.4411764705882353,0.6122448979591837,0.0,0
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Arithmetic level,52,0.9615384615384616,0.35051546391752575,0.5137503777576307,0.038461538461538436,2
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Type level,33,0.9696969696969697,0.40350877192982454,0.5698799845141308,0.030303030303030276,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,UVL language,47,0.9787234042553191,0.2004950495049505,0.33281229065249435,0.021276595744680882,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,Language extensions,32,0.96875,0.1784037558685446,0.30131730400306944,0.03125,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,Feature tree,19,1.0,0.3305785123966942,0.4968944099378882,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Cross-tree constraints,65,0.9692307692307692,0.3248587570621469,0.48661718776236695,0.03076923076923077,2
GT-UVL-NotebookLM-UVLWeb-Prompt1,Boolean level,13,1.0,0.22058823529411764,0.36144578313253006,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Arithmetic level,42,1.0,0.27319587628865977,0.4291497975708502,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Type level,20,0.75,0.18421052631578946,0.2957746478873239,0.25,5
